ax,ay,az,gx,gy,gz,target
6.67,-0.68,7.37,0.3,-0.1,-0.01,IDLE
6.34,-1.19,8.22,0.25,-0.11,-0.01,IDLE
6.29,-0.73,8.21,0.25,-0.11,0.02,IDLE
6.41,-0.51,7.65,0.32,-0.1,0.0,IDLE
6.12,-0.84,7.82,0.3,-0.09,-0.01,IDLE
5.75,-1.15,8.05,0.24,-0.07,-0.01,IDLE
6.31,-0.51,7.67,0.25,-0.09,0.01,IDLE
6.82,-0.76,7.64,0.33,-0.12,0.01,IDLE
6.58,-0.91,8.16,0.29,-0.12,-0.0,IDLE
5.64,-1.01,8.41,0.23,-0.07,-0.02,IDLE
5.82,-0.35,7.61,0.26,-0.07,0.0,IDLE
6.35,-1.06,7.62,0.32,-0.11,0.02,IDLE
6.4,-1.04,7.95,0.27,-0.11,-0.0,IDLE
6.28,-0.61,8.05,0.24,-0.08,-0.02,IDLE
6.31,-0.28,7.88,0.28,-0.09,0.01,IDLE
5.99,-1.27,8.27,0.32,-0.1,0.02,IDLE
5.73,-0.84,7.96,0.27,-0.07,-0.0,IDLE
6.33,-0.57,7.43,0.24,-0.07,-0.03,IDLE
6.61,-0.51,7.71,0.29,-0.11,0.01,IDLE
6.12,-1.41,8.53,0.3,-0.11,0.03,IDLE
5.95,-0.81,8.23,0.27,-0.08,-0.0,IDLE
6.02,-0.37,7.52,0.25,-0.05,-0.03,IDLE
6.0,-0.71,7.53,0.29,-0.09,0.0,IDLE
6.2,-1.47,8.04,0.28,-0.11,0.02,IDLE
6.53,-0.49,7.67,0.27,-0.1,-0.0,IDLE
6.48,-0.26,7.65,0.28,-0.08,-0.02,IDLE
5.8,-0.91,8.13,0.29,-0.08,-0.0,IDLE
5.62,-1.36,8.29,0.27,-0.07,0.02,IDLE
6.27,-0.56,7.26,0.27,-0.08,-0.0,IDLE
6.99,-0.34,7.25,0.29,-0.1,-0.02,IDLE
6.21,-1.08,8.35,0.28,-0.11,-0.0,IDLE
5.74,-1.17,8.61,0.25,-0.08,0.01,IDLE
6.17,-0.42,7.38,0.3,-0.07,-0.0,IDLE
6.37,-0.42,7.14,0.3,-0.09,-0.02,IDLE
6.1,-1.26,7.98,0.26,-0.1,-0.01,IDLE
6.33,-0.85,8.22,0.25,-0.1,0.01,IDLE
6.59,-0.52,7.63,0.32,-0.1,0.01,IDLE
6.17,-0.73,7.92,0.3,-0.09,-0.01,IDLE
5.61,-1.16,8.02,0.24,-0.07,-0.02,IDLE
5.96,-0.71,7.8,0.25,-0.08,0.01,IDLE
6.81,-0.68,7.26,0.32,-0.12,0.01,IDLE
6.55,-0.85,8.01,0.29,-0.12,-0.01,IDLE
5.84,-1.05,8.4,0.24,-0.08,-0.02,IDLE
5.84,-0.45,7.82,0.26,-0.07,0.01,IDLE
6.16,-0.99,7.65,0.32,-0.1,0.02,IDLE
6.15,-1.0,7.72,0.28,-0.09,-0.01,IDLE
6.39,-0.86,7.86,0.23,-0.09,-0.02,IDLE
6.41,-0.38,7.92,0.28,-0.1,0.01,IDLE
6.03,-1.19,8.21,0.32,-0.1,0.02,IDLE
5.72,-0.89,7.99,0.27,-0.06,-0.01,IDLE
6.19,-0.6,7.42,0.24,-0.07,-0.02,IDLE
6.44,-0.46,7.5,0.28,-0.1,0.01,IDLE
6.47,-1.3,8.31,0.31,-0.12,0.03,IDLE
6.09,-0.77,8.2,0.27,-0.08,-0.01,IDLE
6.07,-0.34,7.62,0.26,-0.06,-0.03,IDLE
5.94,-0.76,7.62,0.29,-0.09,0.0,IDLE
6.03,-1.44,8.11,0.28,-0.1,0.02,IDLE
6.43,-0.63,7.49,0.27,-0.08,-0.01,IDLE
6.8,-0.19,7.41,0.27,-0.09,-0.02,IDLE
6.02,-0.98,8.24,0.29,-0.09,0.01,IDLE
5.53,-1.27,8.39,0.27,-0.07,0.02,IDLE
6.22,-0.45,7.17,0.28,-0.07,-0.01,IDLE
6.92,-0.45,7.22,0.29,-0.1,-0.01,IDLE
6.39,-1.14,8.13,0.28,-0.11,0.0,IDLE
6.07,-1.08,8.58,0.26,-0.09,0.02,IDLE
6.3,-0.51,7.55,0.3,-0.08,-0.0,IDLE
6.3,-0.47,7.23,0.3,-0.09,-0.02,IDLE
5.97,-1.38,8.04,0.25,-0.09,-0.01,IDLE
6.36,-0.78,8.04,0.25,-0.1,0.01,IDLE
6.92,-0.49,7.37,0.31,-0.11,0.0,IDLE
6.49,-0.69,7.84,0.3,-0.11,-0.01,IDLE
5.61,-1.22,8.48,0.25,-0.07,-0.01,IDLE
5.83,-0.55,7.72,0.25,-0.07,0.01,IDLE
6.73,-0.83,7.29,0.32,-0.11,0.01,IDLE
6.65,-0.8,7.88,0.29,-0.12,-0.01,IDLE
6.2,-1.06,8.31,0.24,-0.1,-0.01,IDLE
6.0,-0.45,8.09,0.27,-0.08,0.01,IDLE
6.09,-0.89,7.73,0.32,-0.09,0.01,IDLE
