ax,ay,az,gx,gy,gz,target
5.72,-0.1,7.81,0.4,-0.09,0.16,MOV1
5.54,-0.87,8.51,0.4,-0.12,0.23,MOV1
5.71,-0.81,8.26,0.44,-0.14,0.26,MOV1
6.23,-0.21,7.83,0.43,-0.12,0.2,MOV1
6.18,-0.04,7.87,0.4,-0.11,0.17,MOV1
5.57,-0.86,8.7,0.4,-0.13,0.24,MOV1
5.33,-0.7,8.39,0.43,-0.12,0.25,MOV1
5.78,-0.23,7.8,0.42,-0.1,0.19,MOV1
6.29,-0.06,7.48,0.4,-0.11,0.17,MOV1
6.07,-0.91,8.59,0.4,-0.15,0.24,MOV1
5.58,-0.63,8.6,0.43,-0.13,0.25,MOV1
5.83,-0.15,7.83,0.43,-0.09,0.18,MOV1
5.97,-0.06,7.49,0.4,-0.1,0.16,MOV1
5.74,-1.06,8.41,0.39,-0.13,0.23,MOV1
5.79,-0.58,8.25,0.43,-0.13,0.24,MOV1
6.25,-0.14,7.81,0.42,-0.11,0.18,MOV1
6.05,0.05,7.83,0.4,-0.1,0.16,MOV1
5.39,-1.07,8.72,0.39,-0.12,0.23,MOV1
5.34,-0.6,8.34,0.42,-0.11,0.24,MOV1
5.99,-0.22,7.54,0.42,-0.09,0.19,MOV1
6.41,0.09,7.49,0.41,-0.12,0.18,MOV1
5.81,-1.12,8.78,0.4,-0.14,0.25,MOV1
5.25,-0.57,8.67,0.43,-0.11,0.26,MOV1
5.82,-0.12,7.62,0.43,-0.09,0.19,MOV1
6.22,-0.12,7.48,0.41,-0.11,0.19,MOV1
5.87,-1.27,8.5,0.41,-0.15,0.26,MOV1
5.73,-0.55,8.57,0.44,-0.14,0.27,MOV1
6.03,-0.17,7.88,0.44,-0.1,0.2,MOV1
5.92,-0.02,7.8,0.42,-0.1,0.19,MOV1
5.5,-1.28,8.7,0.4,-0.13,0.26,MOV1
5.69,-0.56,8.24,0.44,-0.13,0.26,MOV1
6.33,-0.23,7.56,0.44,-0.12,0.21,MOV1
6.34,-0.05,7.81,0.42,-0.12,0.19,MOV1
5.56,-1.17,8.81,0.4,-0.14,0.26,MOV1
5.29,-0.5,8.42,0.44,-0.11,0.26,MOV1
6.12,-0.38,7.51,0.44,-0.1,0.2,MOV1
6.4,-0.2,7.6,0.42,-0.13,0.19,MOV1
6.01,-1.15,8.57,0.4,-0.15,0.25,MOV1
5.75,-0.5,8.53,0.44,-0.13,0.25,MOV1
6.0,-0.29,7.84,0.44,-0.1,0.19,MOV1
5.91,-0.15,7.74,0.41,-0.1,0.17,MOV1
5.76,-1.16,8.62,0.39,-0.13,0.24,MOV1
5.97,-0.41,8.25,0.44,-0.13,0.24,MOV1
6.43,-0.21,7.71,0.43,-0.12,0.18,MOV1
6.07,-0.08,8.05,0.4,-0.11,0.16,MOV1
5.43,-1.11,8.77,0.38,-0.12,0.22,MOV1
5.48,-0.53,8.31,0.43,-0.11,0.23,MOV1
6.35,-0.32,7.53,0.43,-0.11,0.18,MOV1
6.32,-0.08,7.62,0.4,-0.12,0.17,MOV1
5.88,-1.06,8.69,0.39,-0.14,0.23,MOV1
5.53,-0.49,8.56,0.43,-0.12,0.24,MOV1
5.95,-0.27,7.69,0.43,-0.1,0.19,MOV1
5.99,-0.21,7.65,0.41,-0.11,0.18,MOV1
5.87,-1.07,8.63,0.39,-0.14,0.25,MOV1
5.99,-0.5,8.27,0.45,-0.14,0.26,MOV1
6.21,-0.31,7.86,0.44,-0.12,0.21,MOV1
5.82,-0.11,7.97,0.41,-0.1,0.19,MOV1
5.48,-1.12,8.61,0.4,-0.12,0.25,MOV1
5.79,-0.64,8.13,0.45,-0.13,0.27,MOV1
6.51,-0.27,7.67,0.44,-0.13,0.22,MOV1
6.33,-0.03,7.8,0.41,-0.12,0.2,MOV1
5.7,-1.06,8.74,0.4,-0.13,0.26,MOV1
5.46,-0.65,8.46,0.44,-0.12,0.26,MOV1
6.04,-0.37,7.59,0.44,-0.1,0.21,MOV1
6.33,-0.23,7.54,0.41,-0.12,0.19,MOV1
5.93,-1.07,8.66,0.4,-0.14,0.25,MOV1
5.89,-0.58,8.4,0.45,-0.13,0.26,MOV1
6.07,-0.35,7.8,0.44,-0.1,0.21,MOV1
5.87,-0.19,7.66,0.41,-0.1,0.18,MOV1
5.73,-1.2,8.54,0.39,-0.13,0.25,MOV1
5.97,-0.59,8.12,0.44,-0.14,0.26,MOV1
6.45,-0.33,7.77,0.45,-0.12,0.21,MOV1
6.21,-0.16,7.86,0.41,-0.11,0.18,MOV1
5.53,-1.15,8.78,0.4,-0.12,0.24,MOV1
5.5,-0.61,8.26,0.44,-0.11,0.25,MOV1
6.35,-0.42,7.48,0.44,-0.11,0.2,MOV1
6.47,-0.18,7.62,0.41,-0.13,0.18,MOV1
5.73,-1.09,8.75,0.39,-0.13,0.24,MOV1
5.61,-0.59,8.46,0.43,-0.12,0.24,MOV1
5.99,-0.29,7.75,0.43,-0.1,0.19,MOV1
6.06,-0.3,7.52,0.41,-0.11,0.17,MOV1
5.9,-1.19,8.49,0.38,-0.14,0.23,MOV1
5.94,-0.56,8.27,0.43,-0.13,0.25,MOV1
6.33,-0.25,7.78,0.43,-0.12,0.2,MOV1
6.0,-0.23,7.87,0.41,-0.1,0.17,MOV1
5.48,-1.16,8.57,0.39,-0.12,0.23,MOV1
5.67,-0.74,8.09,0.43,-0.12,0.25,MOV1
6.54,-0.24,7.54,0.44,-0.12,0.21,MOV1
6.44,-0.29,7.8,0.42,-0.13,0.18,MOV1
5.79,-1.17,8.71,0.4,-0.14,0.24,MOV1
5.5,-0.68,8.35,0.43,-0.12,0.25,MOV1
6.12,-0.34,7.52,0.44,-0.1,0.2,MOV1
6.47,-0.31,7.4,0.41,-0.12,0.18,MOV1
6.0,-1.09,8.49,0.38,-0.14,0.23,MOV1
5.71,-0.62,8.3,0.43,-0.12,0.24,MOV1
6.25,-0.38,7.69,0.44,-0.11,0.19,MOV1
6.04,-0.34,7.62,0.4,-0.11,0.17,MOV1
5.6,-1.21,8.42,0.37,-0.12,0.22,MOV1
5.94,-0.61,8.03,0.42,-0.13,0.24,MOV1
6.66,-0.35,7.62,0.44,-0.12,0.2,MOV1
6.21,-0.48,7.99,0.41,-0.12,0.17,MOV1
5.45,-1.12,8.66,0.38,-0.12,0.22,MOV1
5.49,-0.6,8.15,0.42,-0.11,0.24,MOV1
6.47,-0.51,7.34,0.44,-0.12,0.2,MOV1
6.58,-0.47,7.68,0.41,-0.13,0.18,MOV1
5.67,-0.98,8.64,0.37,-0.13,0.22,MOV1
5.54,-0.52,8.4,0.42,-0.1,0.23,MOV1
6.28,-0.42,7.59,0.44,-0.11,0.2,MOV1
6.16,-0.52,7.62,0.4,-0.11,0.17,MOV1
5.72,-1.1,8.4,0.36,-0.13,0.21,MOV1
5.98,-0.51,8.34,0.42,-0.12,0.23,MOV1
6.5,-0.45,7.75,0.44,-0.12,0.2,MOV1
6.05,-0.52,7.96,0.41,-0.11,0.16,MOV1
