ax,ay,az,gx,gy,gz,target
6.68,-1.13,8.16,0.26,-0.14,0.03,ANOM1
5.85,-0.75,8.49,0.23,-0.12,0.05,ANOM1
5.77,-0.37,7.6,0.21,-0.06,-0.01,ANOM1
6.23,-0.1,7.24,0.21,-0.07,0.0,ANOM1
6.54,-1.67,8.07,0.21,-0.13,0.06,ANOM1
5.94,-1.0,8.46,0.21,-0.11,0.07,ANOM1
6.26,-0.72,7.7,0.23,-0.07,0.01,ANOM1
6.23,-0.54,7.58,0.24,-0.07,0.0,ANOM1
6.01,-2.04,8.26,0.24,-0.1,0.05,ANOM1
5.81,-1.22,8.13,0.24,-0.08,0.06,ANOM1
6.66,-0.88,7.17,0.27,-0.07,0.01,ANOM1
6.64,-0.79,7.65,0.26,-0.08,0.0,ANOM1
5.99,-2.2,8.72,0.24,-0.09,0.04,ANOM1
5.68,-1.38,8.14,0.25,-0.06,0.04,ANOM1
6.39,-1.53,7.49,0.28,-0.05,-0.03,ANOM1
6.65,-1.48,7.41,0.3,-0.08,-0.03,ANOM1
6.14,-2.4,8.58,0.28,-0.09,-0.0,ANOM1
5.47,-1.27,8.19,0.33,-0.04,-0.02,ANOM1
6.16,-1.31,7.68,0.37,-0.05,-0.04,ANOM1
5.91,-0.91,7.77,0.37,-0.07,-0.05,ANOM1
5.37,-1.82,8.6,0.32,-0.09,-0.0,ANOM1
5.78,-0.46,7.97,0.35,-0.08,-0.02,ANOM1
6.63,-0.35,7.51,0.38,-0.1,-0.04,ANOM1
6.16,-0.53,8.12,0.34,-0.1,-0.06,ANOM1
5.41,-1.02,8.75,0.27,-0.09,-0.03,ANOM1
5.48,0.18,7.87,0.31,-0.06,-0.05,ANOM1
6.52,-0.35,7.24,0.33,-0.1,-0.07,ANOM1
6.46,-0.36,7.96,0.28,-0.12,-0.07,ANOM1
5.54,-0.38,8.73,0.22,-0.1,-0.03,ANOM1
5.57,0.18,8.13,0.29,-0.08,-0.03,ANOM1
6.35,-0.33,7.7,0.31,-0.11,-0.0,ANOM1
5.81,-0.4,7.95,0.26,-0.11,-0.01,ANOM1
5.62,-0.38,8.34,0.21,-0.11,0.04,ANOM1
6.39,0.22,7.74,0.29,-0.11,0.04,ANOM1
6.68,-0.77,8.03,0.3,-0.15,0.07,ANOM1
5.84,-0.6,8.1,0.24,-0.11,0.04,ANOM1
5.38,-0.32,8.16,0.18,-0.07,0.04,ANOM1
6.29,-0.37,7.34,0.26,-0.09,0.05,ANOM1
7.11,-1.18,7.53,0.24,-0.15,0.06,ANOM1
6.34,-0.92,8.1,0.2,-0.11,0.02,ANOM1
5.92,-0.55,7.76,0.16,-0.07,0.02,ANOM1
6.54,-1.38,7.58,0.23,-0.09,0.01,ANOM1
6.53,-1.74,7.64,0.24,-0.12,0.04,ANOM1
6.31,-1.81,7.78,0.22,-0.08,-0.0,ANOM1
6.03,-1.0,7.61,0.22,-0.05,-0.0,ANOM1
6.57,-1.8,7.88,0.32,-0.08,0.03,ANOM1
5.97,-2.11,8.35,0.33,-0.09,0.05,ANOM1
5.55,-1.66,8.02,0.31,-0.05,0.01,ANOM1
