ax,ay,az,gx,gy,gz,target
5.85,-1.01,8.28,0.28,-0.12,0.03,IDLE1
5.56,-0.48,8.05,0.26,-0.08,-0.02,IDLE1
5.88,0.08,7.81,0.25,-0.08,-0.01,IDLE1
6.32,-0.72,8.19,0.31,-0.12,0.02,IDLE1
5.61,-0.83,8.72,0.28,-0.12,0.04,IDLE1
5.28,-0.27,8.1,0.27,-0.05,-0.03,IDLE1
5.79,0.12,7.61,0.26,-0.06,-0.03,IDLE1
6.2,-1.02,8.03,0.3,-0.11,0.02,IDLE1
5.96,-0.74,8.57,0.27,-0.13,0.03,IDLE1
5.74,-0.19,8.23,0.27,-0.07,-0.03,IDLE1
5.69,0.13,7.99,0.27,-0.06,-0.03,IDLE1
5.58,-1.28,8.53,0.28,-0.1,0.02,IDLE1
5.37,-0.54,8.43,0.27,-0.09,0.03,IDLE1
6.21,-0.14,7.66,0.29,-0.08,-0.03,IDLE1
6.36,0.06,7.74,0.28,-0.1,-0.02,IDLE1
5.77,-1.28,8.94,0.27,-0.12,0.03,IDLE1
4.96,-0.24,8.74,0.27,-0.07,0.02,IDLE1
5.77,-0.18,7.53,0.3,-0.05,-0.03,IDLE1
6.25,-0.26,7.65,0.28,-0.1,-0.02,IDLE1
5.84,-1.24,8.82,0.25,-0.12,0.03,IDLE1
5.5,-0.04,8.52,0.27,-0.09,0.02,IDLE1
6.07,-0.18,7.78,0.31,-0.07,-0.03,IDLE1
5.84,-0.37,8.02,0.28,-0.09,-0.02,IDLE1
5.21,-1.16,8.72,0.23,-0.09,0.02,IDLE1
5.6,0.08,7.89,0.28,-0.07,0.0,IDLE1
6.71,-0.4,7.64,0.31,-0.11,-0.01,IDLE1
6.24,-0.45,8.31,0.28,-0.12,-0.01,IDLE1
5.04,-0.89,9.08,0.23,-0.08,0.02,IDLE1
5.26,0.08,8.05,0.28,-0.05,-0.0,IDLE1
6.37,-0.68,7.51,0.32,-0.1,0.0,IDLE1
6.14,-0.7,8.24,0.27,-0.12,-0.01,IDLE1
5.41,-0.37,8.63,0.23,-0.08,0.01,IDLE1
5.79,0.05,8.12,0.3,-0.08,0.01,IDLE1
6.21,-0.79,8.03,0.31,-0.11,0.01,IDLE1
5.51,-0.57,8.26,0.26,-0.09,-0.01,IDLE1
5.37,-0.29,8.12,0.23,-0.07,-0.0,IDLE1
6.31,-0.25,7.82,0.3,-0.1,0.01,IDLE1
6.32,-0.92,8.41,0.3,-0.13,0.02,IDLE1
5.36,-0.51,8.6,0.26,-0.08,-0.02,IDLE1
5.1,0.01,8.28,0.23,-0.05,-0.02,IDLE1
5.87,-0.51,7.72,0.31,-0.09,0.0,IDLE1
6.21,-1.06,8.16,0.29,-0.13,0.03,IDLE1
5.85,-0.36,8.31,0.26,-0.09,-0.02,IDLE1
5.65,0.26,8.16,0.25,-0.06,-0.02,IDLE1
5.84,-0.86,8.32,0.3,-0.1,0.01,IDLE1
5.5,-0.96,8.64,0.28,-0.11,0.03,IDLE1
5.42,-0.3,7.95,0.26,-0.06,-0.03,IDLE1
